Date,Wakeup Time,,,Sleep Duration,,,Time Asleep,,,Sleep Score,,Rem,,Final Meal,,Travelling to Work,,Travelling Home,,Variables,
,Wakeup Time,Rolling Average (7d),Rolling Average (14d),Sleep Duration,Rolling Average (7d),Rolling Average (14d),Time Asleep,Rolling Average (7d),Time Asleep (previous night),overall_score,Rolling Average (7d),Amount ,Rolling Average (7d),Time,Rolling Average (7d),Set off Time,Arrival,Set off Time,Arrival,Supplements,
,,,,,,,,,,,,,,,,,,,,,
7/31/2024,,8:02:00 AM,8:19:33 AM,,,,,,,,,,,,,,,,,,
7/30/2024,,7:54:45 AM,8:17:55 AM,,,,,,,,,,,,,,,,,,
7/29/2024,,7:55:48 AM,8:17:18 AM,,,,,,,,,,,,,,,,,,
7/28/2024,,8:11:20 AM,8:23:17 AM,,,,,,,,,,,,,,,,,,
7/27/2024,8:15:00 AM,8:25:00 AM,8:25:40 AM,,,,,,,,,,,,,,,,,,
7/26/2024,8:06:00 AM,8:29:43 AM,8:26:26 AM,,,,,,,,,,,7:30:00 PM,7:15 PM,,,,,,
7/25/2024,7:45:00 AM,8:26:43 AM,8:23:21 AM,6:46:00,7:18:00,7:37:20,1.0118,12:02:00 AM,12:17:00 AM,72,74.5,,,8:30:00 PM,7:00 PM,7:59:00 AM,8:44:00 AM,,,"are late, nicotine after 8, although before 9, didn't try and even get to sleep until after midnight ",
7/24/2024,7:33:00 AM,8:29:09 AM,8:22:21 AM,7:08:00,7:34:00,7:47:00,0.9771,11:48:21 PM,11:27:00 PM,77,77.0,0:35:00,0:52:30,6:45:00 PM,6:37 PM,,,,,,
7/23/2024,8:00:00 AM,8:33:43 AM,8:25:51 AM,8:00:00,8:00:00,8:00:00,0.8958,11:43:01 PM,9:30:00 PM,,,1:10:00,1:10:00,6:15:00 PM,7:03 PM,,,,,,
7/22/2024,9:29:00 AM,8:33:43 AM,8:28:00 AM,,,,1.0222,12:02:21 AM,12:32:00 AM,,,,,,6:45 PM,,,,,,
7/21/2024,9:47:00 AM,8:22:26 AM,8:25:13 AM,,,,1.0389,11:51:11 PM,12:56:00 AM,,,,,,6:30 PM,,,,,,
7/20/2024,8:48:00 AM,8:21:34 AM,8:04:51 AM,,,,,11:39:01 PM,,,,,,,7:20 PM,,,,,,
7/19/2024,7:45:00 AM,8:23:09 AM,8:06:30 AM,,,,1.0625,11:39:01 PM,1:30:00 AM,,,,,6:30:00 PM,7:20 PM,,,,,,
7/18/2024,8:02:00 AM,8:29:30 AM,8:05:13 AM,,,,0.95,11:16:49 PM,11:36:00 PM,,,,,7:00:00 PM,7:30 PM,,,,,,
7/17/2024,8:05:00 AM,8:23:00 AM,8:01:56 AM,,,,0.9549,11:22:15 PM,10:55:00 PM,,,,,8:30:00 PM,7:37 PM,8:25:00,9:10:00 AM,,,,
7/16/2024,8:00:00 AM,8:17:20 AM,7:58:09 AM,,,,0.9764,11:31:20 PM,11:26:00 PM,,,,,5:00:00 PM,7:20 PM,,,,,,
7/15/2024,8:10:00 AM,8:21:00 AM,7:39:21 AM,,,,0.9757,11:34:00 PM,11:25:00 PM,,,,,5:30:00 PM,8:30 PM,12:30:00,13:00:00,,,,
7/14/2024,9:41:00 AM,8:24:20 AM,7:38:21 AM,,,,0.9882,11:43:00 PM,11:43:00 PM,,,,,11:30:00 PM,11:30 PM,,,,,No Nicotine,
7/13/2024,8:59:00 AM,8:15:50 AM,7:32:17 AM,,,,,12:21:00 AM,,,,,,,,,,,,No Nicotine,
7/12/2024,,7:36:20 AM,7:35:56 AM,,,,,12:21:00 AM,,,,,,,,,,,,,
7/11/2024,7:23:00 AM,7:49:51 AM,7:36:56 AM,,,,,12:19:30 AM,,,,,,,,,,,,,
7/10/2024,7:31:00 AM,7:50:26 AM,7:37:56 AM,,,,,12:45:20 AM,,,,,,,,,,,,,
7/11/2024,8:22:00 AM,7:48:17 AM,7:38:28 AM,,,,,12:26:00 AM,,,,,,,,,,,,,
7/10/2024,8:30:00 AM,7:38:17 AM,7:34:50 AM,,,,,12:26:00 AM,,,,,,,,,,,,,
7/9/2024,8:50:00 AM,6:56:26 AM,7:29:49 AM,8:29:00,6:34:34,6:05:36,1.0146,12:05:00 AM,12:21:00 AM,,,,,,,,,,,,
